Manuf_0001	Trans_0001
Part_0042	Manuf_0055
Part_0042	Manuf_0056
Part_0043	Manuf_0056
Trans_0001	Manuf_0002
Trans_0002	Manuf_0011
Trans_0003	Manuf_0017
Trans_0003	Manuf_0018
Trans_0003	Manuf_0019
Trans_0004	Manuf_0033
Trans_0005	Manuf_0039
Trans_0005	Manuf_0043
Trans_0005	Manuf_0045
Trans_0005	Manuf_0051
Trans_0006	Manuf_0040
Trans_0007	Manuf_0048
Trans_0008	Manuf_0049
Trans_0009	Manuf_0050
Trans_0010	Manuf_0043
Trans_0011	Manuf_0045
Trans_0012	Manuf_0051
Trans_0013	Manuf_0043
Trans_0014	Manuf_0045
Trans_0015	Manuf_0051
Trans_0016	Manuf_0052
Trans_0017	Manuf_0055
Trans_0018	Manuf_0053
Trans_0018	Manuf_0054
Trans_0019	Manuf_0056
Trans_0020	Manuf_0052
Trans_0020	Manuf_0053
Trans_0021	Manuf_0055
Trans_0022	Manuf_0055
Trans_0023	Manuf_0054
Trans_0024	Manuf_0053
Trans_0024	Manuf_0054
Trans_0025	Manuf_0052
Trans_0026	Manuf_0056
Trans_0027	Manuf_0055
Trans_0028	Manuf_0053
Trans_0028	Manuf_0054
Trans_0029	Manuf_0052
Trans_0030	Manuf_0055
Trans_0031	Manuf_0054
Trans_0032	Manuf_0052
Trans_0033	Manuf_0054
Trans_0034	Manuf_0055
Trans_0035	Manuf_0056
Trans_0036	Manuf_0052
Trans_0036	Manuf_0053
Trans_0037	Manuf_0053
Trans_0038	Manuf_0052
Trans_0038	Manuf_0053
Trans_0038	Manuf_0054
Trans_0038	Manuf_0055
Trans_0039	Manuf_0052
Trans_0039	Manuf_0053
Trans_0039	Manuf_0054
Trans_0039	Manuf_0055
Trans_0039	Manuf_0056
Trans_0040	Manuf_0044
Trans_0041	Manuf_0046
Trans_0042	Manuf_0047
