Manuf_0001	Retail_0001
Manuf_0060	Dist_0030
Manuf_0060	Retail_0060
Manuf_0061	Dist_0001
Manuf_0061	Dist_0002
Manuf_0061	Retail_0061
Manuf_0062	Dist_0003
Manuf_0062	Retail_0062
Manuf_0063	Dist_0004
Manuf_0063	Dist_0005
Manuf_0063	Retail_0063
Manuf_0064	Dist_0006
Manuf_0064	Retail_0064
Manuf_0065	Dist_0026
Manuf_0065	Retail_0065
Manuf_0066	Retail_0066
Manuf_0067	Retail_0067
Manuf_0068	Dist_0001
Manuf_0068	Dist_0002
Manuf_0068	Dist_0003
Manuf_0068	Dist_0004
Manuf_0068	Dist_0005
Manuf_0068	Retail_0068
Manuf_0069	Dist_0011
Manuf_0069	Dist_0026
Manuf_0069	Dist_0030
Manuf_0069	Retail_0069
Manuf_0070	Dist_0006
Manuf_0070	Dist_0010
Manuf_0070	Dist_0019
Manuf_0070	Dist_0023
Manuf_0070	Retail_0070
Manuf_0071	Dist_0018
Manuf_0071	Dist_0029
Manuf_0071	Retail_0071
Manuf_0072	Dist_0020
Manuf_0072	Dist_0025
Manuf_0072	Retail_0072
Manuf_0073	Dist_0016
Manuf_0073	Retail_0073
Manuf_0074	Retail_0074
Manuf_0075	Dist_0016
Manuf_0075	Dist_0018
Manuf_0075	Dist_0029
Manuf_0075	Retail_0075
Manuf_0076	Dist_0006
Manuf_0076	Dist_0014
Manuf_0076	Dist_0029
Manuf_0076	Retail_0076
Manuf_0077	Dist_0024
Manuf_0077	Dist_0027
Manuf_0077	Dist_0031
Manuf_0077	Retail_0077
Manuf_0078	Dist_0012
Manuf_0078	Dist_0017
Manuf_0078	Retail_0078
Manuf_0079	Dist_0007
Manuf_0079	Dist_0008
Manuf_0079	Dist_0009
Manuf_0079	Dist_0013
Manuf_0079	Dist_0015
Manuf_0079	Dist_0021
Manuf_0079	Dist_0022
Manuf_0079	Dist_0028
Manuf_0079	Retail_0079
Manuf_0080	Dist_0012
Manuf_0080	Dist_0017
Manuf_0080	Retail_0080
Manuf_0081	Dist_0007
Manuf_0081	Dist_0008
Manuf_0081	Dist_0009
Manuf_0081	Dist_0013
Manuf_0081	Dist_0015
Manuf_0081	Dist_0021
Manuf_0081	Dist_0022
Manuf_0081	Dist_0024
Manuf_0081	Dist_0027
Manuf_0081	Dist_0028
Manuf_0081	Dist_0031
Manuf_0081	Retail_0081
Manuf_0082	Dist_0014
Manuf_0082	Retail_0082
Manuf_0083	Dist_0029
Manuf_0083	Retail_0083
Manuf_0084	Retail_0084
Manuf_0085	Retail_0085
Manuf_0086	Retail_0086
Manuf_0087	Retail_0087
Manuf_0088	Retail_0088
Manuf_0089	Retail_0089
Manuf_0090	Retail_0090
Manuf_0091	Retail_0091
Manuf_0092	Retail_0092
Manuf_0093	Retail_0093
Manuf_0094	Retail_0094
Manuf_0095	Retail_0095
Manuf_0096	Retail_0096
Manuf_0097	Retail_0097
Manuf_0098	Retail_0098
Manuf_0099	Retail_0099
Manuf_0100	Retail_0100
Manuf_0101	Retail_0101
Manuf_0102	Retail_0102
Manuf_0103	Retail_0103
Manuf_0104	Retail_0104
Manuf_0105	Retail_0105
Manuf_0106	Retail_0106
Manuf_0107	Retail_0107
Manuf_0108	Retail_0108
Manuf_0109	Retail_0109
Manuf_0110	Retail_0110
Manuf_0111	Dist_0016
Manuf_0111	Retail_0111
Manuf_0112	Dist_0010
Manuf_0112	Dist_0011
Manuf_0112	Dist_0019
Manuf_0112	Dist_0023
Manuf_0112	Dist_0030
Manuf_0112	Retail_0112
Manuf_0113	Dist_0018
Manuf_0113	Dist_0020
Manuf_0113	Dist_0025
Manuf_0113	Retail_0113
Manuf_0114	Dist_0021
Manuf_0114	Dist_0022
Manuf_0114	Retail_0114
Manuf_0115	Dist_0026
Manuf_0115	Retail_0115
Manuf_0116	Dist_0007
Manuf_0116	Dist_0008
Manuf_0116	Dist_0009
Manuf_0116	Dist_0012
Manuf_0116	Dist_0013
Manuf_0116	Dist_0015
Manuf_0116	Dist_0017
Manuf_0116	Dist_0028
Manuf_0116	Retail_0116
Manuf_0117	Dist_0024
Manuf_0117	Dist_0027
Manuf_0117	Dist_0031
Manuf_0117	Retail_0117
Manuf_0118	Dist_0010
Manuf_0118	Dist_0011
Manuf_0118	Dist_0016
Manuf_0118	Dist_0018
Manuf_0118	Dist_0019
Manuf_0118	Dist_0020
Manuf_0118	Dist_0023
Manuf_0118	Dist_0025
Manuf_0118	Dist_0026
Manuf_0118	Dist_0030
Manuf_0118	Retail_0118
Manuf_0119	Dist_0011
Manuf_0119	Dist_0016
Manuf_0119	Dist_0018
Manuf_0119	Dist_0023
Manuf_0119	Dist_0026
Manuf_0119	Retail_0119
Manuf_0120	Dist_0004
Manuf_0120	Retail_0120
Manuf_0121	Dist_0006
Manuf_0121	Retail_0121
Manuf_0122	Dist_0012
Manuf_0122	Dist_0015
Manuf_0122	Dist_0017
Manuf_0122	Retail_0122
Manuf_0123	Dist_0017
Manuf_0123	Dist_0028
Manuf_0123	Retail_0123
Manuf_0124	Dist_0003
Manuf_0124	Retail_0124
Manuf_0125	Dist_0002
Manuf_0125	Dist_0006
Manuf_0125	Retail_0125
Manuf_0126	Dist_0024
Manuf_0126	Dist_0027
Manuf_0126	Retail_0126
Manuf_0127	Dist_0014
Manuf_0127	Retail_0127
Manuf_0128	Dist_0027
Manuf_0128	Retail_0128
Manuf_0129	Dist_0008
Manuf_0129	Dist_0021
Manuf_0129	Dist_0028
Manuf_0129	Retail_0129
Manuf_0130	Dist_0020
Manuf_0130	Retail_0130
Manuf_0131	Dist_0007
Manuf_0131	Dist_0022
Manuf_0131	Retail_0131
Manuf_0132	Dist_0003
Manuf_0132	Dist_0004
Manuf_0132	Dist_0005
Manuf_0132	Retail_0132
Manuf_0133	Dist_0013
Manuf_0133	Retail_0133
Manuf_0134	Dist_0010
Manuf_0134	Dist_0019
Manuf_0134	Dist_0025
Manuf_0134	Dist_0030
Manuf_0134	Retail_0134
Manuf_0135	Dist_0009
Manuf_0135	Retail_0135
Manuf_0136	Dist_0024
Manuf_0136	Dist_0031
Manuf_0136	Retail_0136
Manuf_0137	Dist_0029
Manuf_0137	Retail_0137
Manuf_0138	Dist_0011
Manuf_0138	Dist_0014
Manuf_0138	Dist_0016
Manuf_0138	Dist_0018
Manuf_0138	Dist_0019
Manuf_0138	Dist_0023
Manuf_0138	Dist_0025
Manuf_0138	Dist_0026
Manuf_0138	Dist_0029
Manuf_0138	Dist_0030
Manuf_0138	Retail_0138
Manuf_0139	Dist_0001
Manuf_0139	Dist_0002
Manuf_0139	Dist_0003
Manuf_0139	Dist_0004
Manuf_0139	Dist_0005
Manuf_0139	Retail_0139
Manuf_0140	Dist_0007
Manuf_0140	Dist_0008
Manuf_0140	Dist_0009
Manuf_0140	Dist_0012
Manuf_0140	Dist_0013
Manuf_0140	Dist_0015
Manuf_0140	Dist_0017
Manuf_0140	Dist_0021
Manuf_0140	Dist_0022
Manuf_0140	Dist_0028
Manuf_0140	Dist_0031
Manuf_0140	Retail_0140
Manuf_0141	Dist_0001
Manuf_0141	Dist_0002
Manuf_0141	Dist_0003
Manuf_0141	Dist_0004
Manuf_0141	Dist_0005
Manuf_0141	Dist_0014
Manuf_0141	Retail_0141
Manuf_0142	Dist_0006
Manuf_0142	Dist_0010
Manuf_0142	Dist_0011
Manuf_0142	Dist_0016
Manuf_0142	Dist_0018
Manuf_0142	Dist_0019
Manuf_0142	Dist_0020
Manuf_0142	Dist_0023
Manuf_0142	Dist_0025
Manuf_0142	Dist_0026
Manuf_0142	Dist_0029
Manuf_0142	Dist_0030
Manuf_0142	Retail_0142
Part_0001	Manuf_0001
Part_0002	Manuf_0002
Part_0003	Manuf_0003
Part_0004	Manuf_0004
Part_0005	Manuf_0005
Part_0006	Manuf_0006
Part_0007	Manuf_0006
Part_0008	Manuf_0007
Part_0009	Manuf_0007
Part_0010	Manuf_0055
Part_0010	Manuf_0056
Part_0011	Manuf_0057
Part_0011	Manuf_0058
Part_0012	Manuf_0059
Part_0012	Manuf_0060
Part_0013	Manuf_0064
Part_0014	Manuf_0065
Part_0014	Manuf_0066
Part_0015	Manuf_0067
Part_0015	Manuf_0068
Part_0015	Manuf_0069
Part_0015	Manuf_0070
Part_0016	Manuf_0067
Part_0016	Manuf_0068
Part_0017	Manuf_0068
Part_0018	Manuf_0068
Part_0019	Manuf_0067
Part_0019	Manuf_0068
Part_0019	Manuf_0069
Part_0019	Manuf_0070
Part_0020	Manuf_0069
Part_0020	Manuf_0070
Part_0021	Manuf_0070
Part_0022	Manuf_0070
Part_0023	Manuf_0071
Part_0023	Manuf_0072
Part_0024	Manuf_0071
Part_0024	Manuf_0072
Part_0024	Manuf_0073
Part_0024	Manuf_0074
Part_0025	Manuf_0072
Part_0026	Manuf_0072
Part_0027	Manuf_0001
Part_0027	Manuf_0002
Part_0027	Manuf_0003
Part_0027	Manuf_0004
Part_0027	Manuf_0005
Part_0027	Manuf_0006
Part_0027	Manuf_0007
Part_0027	Manuf_0008
Part_0027	Manuf_0009
Part_0027	Manuf_0010
Part_0027	Manuf_0011
Part_0027	Manuf_0012
Part_0027	Manuf_0013
Part_0027	Manuf_0014
Part_0027	Manuf_0015
Part_0027	Manuf_0016
Part_0027	Manuf_0017
Part_0027	Manuf_0018
Part_0027	Manuf_0019
Part_0027	Manuf_0020
Part_0027	Manuf_0021
Part_0027	Manuf_0022
Part_0027	Manuf_0023
Part_0027	Manuf_0024
Part_0027	Manuf_0025
Part_0027	Manuf_0026
Part_0027	Manuf_0027
Part_0027	Manuf_0028
Part_0027	Manuf_0029
Part_0027	Manuf_0030
Part_0027	Manuf_0031
Part_0027	Manuf_0032
Part_0027	Manuf_0033
Part_0027	Manuf_0034
Part_0027	Manuf_0035
Part_0027	Manuf_0036
Part_0027	Manuf_0037
Part_0027	Manuf_0038
Part_0027	Manuf_0039
Part_0027	Manuf_0040
Part_0027	Manuf_0041
Part_0027	Manuf_0042
Part_0027	Manuf_0043
Part_0027	Manuf_0044
Part_0027	Manuf_0045
Part_0027	Manuf_0046
Part_0027	Manuf_0047
Part_0027	Manuf_0048
Part_0027	Manuf_0049
Part_0027	Manuf_0050
Part_0027	Manuf_0051
Part_0027	Manuf_0052
Part_0027	Manuf_0053
Part_0027	Manuf_0054
Part_0027	Manuf_0055
Part_0027	Manuf_0056
Part_0027	Manuf_0057
Part_0027	Manuf_0058
Part_0027	Manuf_0059
Part_0027	Manuf_0060
Part_0027	Manuf_0061
Part_0027	Manuf_0062
Part_0027	Manuf_0063
Part_0027	Manuf_0064
Part_0027	Manuf_0065
Part_0027	Manuf_0066
Part_0027	Manuf_0067
Part_0027	Manuf_0068
Part_0027	Manuf_0069
Part_0027	Manuf_0070
Part_0027	Manuf_0071
Part_0027	Manuf_0072
Part_0027	Manuf_0073
Part_0027	Manuf_0074
Part_0027	Manuf_0075
Part_0027	Manuf_0076
Part_0027	Manuf_0077
Part_0027	Manuf_0078
Part_0027	Manuf_0079
Part_0027	Manuf_0080
Part_0027	Manuf_0081
Part_0027	Manuf_0082
Part_0027	Manuf_0083
Part_0027	Manuf_0084
Part_0027	Manuf_0085
Part_0027	Manuf_0086
Part_0027	Manuf_0087
Part_0027	Manuf_0088
Part_0027	Manuf_0089
Part_0027	Manuf_0090
Part_0027	Manuf_0091
Part_0027	Manuf_0092
Part_0027	Manuf_0093
Part_0027	Manuf_0094
Part_0027	Manuf_0095
Part_0027	Manuf_0096
Part_0027	Manuf_0097
Part_0027	Manuf_0098
Part_0027	Manuf_0099
Part_0027	Manuf_0100
Part_0027	Manuf_0101
Part_0027	Manuf_0102
Part_0027	Manuf_0103
Part_0027	Manuf_0104
Part_0027	Manuf_0105
Part_0027	Manuf_0106
Part_0027	Manuf_0107
Part_0027	Manuf_0108
Part_0027	Manuf_0109
Part_0027	Manuf_0110
Part_0027	Manuf_0111
Part_0027	Manuf_0112
Part_0027	Manuf_0113
Part_0027	Manuf_0114
Part_0027	Manuf_0115
Part_0027	Manuf_0116
Part_0027	Manuf_0117
Part_0027	Manuf_0118
Part_0027	Manuf_0119
Part_0027	Manuf_0120
Part_0027	Manuf_0121
Part_0027	Manuf_0122
Part_0027	Manuf_0123
Part_0027	Manuf_0124
Part_0027	Manuf_0125
Part_0027	Manuf_0126
Part_0027	Manuf_0127
Part_0027	Manuf_0128
Part_0027	Manuf_0129
Part_0027	Manuf_0130
Part_0027	Manuf_0131
Part_0027	Manuf_0132
Part_0027	Manuf_0133
Part_0027	Manuf_0134
Part_0027	Manuf_0135
Part_0027	Manuf_0136
Part_0027	Manuf_0137
Part_0027	Manuf_0138
Part_0027	Manuf_0139
Part_0027	Manuf_0140
Part_0027	Manuf_0141
Part_0027	Manuf_0142
Part_0028	Manuf_0074
Part_0029	Manuf_0074
Part_0030	Manuf_0073
Part_0030	Manuf_0074
Part_0031	Manuf_0071
Part_0031	Manuf_0072
Part_0031	Manuf_0073
Part_0031	Manuf_0074
Part_0032	Manuf_0075
Part_0033	Manuf_0076
Part_0034	Manuf_0076
Part_0035	Manuf_0077
Part_0036	Manuf_0077
Part_0037	Manuf_0078
Part_0038	Manuf_0079
Part_0039	Manuf_0080
Part_0039	Manuf_0081
Part_0040	Manuf_0080
Part_0040	Manuf_0081
Part_0041	Manuf_0080
Part_0041	Manuf_0081
Part_0042	Manuf_0081
Part_0043	Manuf_0081
Part_0044	Manuf_0061
Part_0044	Manuf_0062
Part_0044	Manuf_0063
Part_0044	Manuf_0084
Part_0044	Manuf_0085
Part_0044	Manuf_0086
Part_0044	Manuf_0087
Part_0044	Manuf_0088
Part_0044	Manuf_0089
Part_0044	Manuf_0090
Part_0044	Manuf_0091
Part_0044	Manuf_0092
Part_0044	Manuf_0093
Part_0044	Manuf_0094
Part_0044	Manuf_0095
Part_0044	Manuf_0096
Part_0044	Manuf_0097
Part_0044	Manuf_0098
Part_0045	Manuf_0061
Part_0045	Manuf_0085
Part_0045	Manuf_0086
Part_0045	Manuf_0088
Part_0045	Manuf_0089
Part_0045	Manuf_0090
Part_0045	Manuf_0109
Part_0046	Manuf_0061
Part_0046	Manuf_0062
Part_0046	Manuf_0063
Part_0046	Manuf_0064
Part_0046	Manuf_0082
Part_0046	Manuf_0084
Part_0046	Manuf_0085
Part_0046	Manuf_0086
Part_0046	Manuf_0087
Part_0046	Manuf_0088
Part_0046	Manuf_0089
Part_0046	Manuf_0090
Part_0046	Manuf_0093
Part_0046	Manuf_0094
Part_0046	Manuf_0095
Part_0046	Manuf_0096
Part_0046	Manuf_0097
Part_0046	Manuf_0098
Part_0046	Manuf_0099
Part_0046	Manuf_0102
Part_0046	Manuf_0103
Part_0046	Manuf_0104
Part_0046	Manuf_0112
Part_0046	Manuf_0115
Part_0047	Manuf_0083
Part_0047	Manuf_0092
Part_0047	Manuf_0100
Part_0047	Manuf_0105
Part_0047	Manuf_0109
Part_0047	Manuf_0111
Part_0047	Manuf_0113
Part_0048	Manuf_0084
Part_0048	Manuf_0093
Part_0048	Manuf_0096
Part_0048	Manuf_0104
Part_0048	Manuf_0105
Part_0049	Manuf_0061
Part_0049	Manuf_0062
Part_0049	Manuf_0063
Part_0049	Manuf_0084
Part_0049	Manuf_0085
Part_0049	Manuf_0086
Part_0049	Manuf_0087
Part_0049	Manuf_0088
Part_0049	Manuf_0089
Part_0049	Manuf_0090
Part_0049	Manuf_0091
Part_0049	Manuf_0093
Part_0049	Manuf_0094
Part_0049	Manuf_0095
Part_0049	Manuf_0096
Part_0049	Manuf_0097
Part_0049	Manuf_0098
Part_0049	Manuf_0102
Part_0049	Manuf_0103
Part_0049	Manuf_0104
Part_0049	Manuf_0112
Part_0049	Manuf_0115
Part_0050	Manuf_0092
Part_0050	Manuf_0105
Part_0050	Manuf_0109
Part_0050	Manuf_0111
Part_0050	Manuf_0113
Part_0051	Manuf_0061
Part_0051	Manuf_0062
Part_0051	Manuf_0063
Part_0051	Manuf_0085
Part_0051	Manuf_0086
Part_0051	Manuf_0087
Part_0051	Manuf_0088
Part_0051	Manuf_0089
Part_0051	Manuf_0090
Part_0051	Manuf_0091
Part_0051	Manuf_0094
Part_0051	Manuf_0095
Part_0051	Manuf_0097
Part_0051	Manuf_0098
Part_0052	Manuf_0092
Part_0052	Manuf_0102
Part_0052	Manuf_0103
Part_0052	Manuf_0109
Part_0052	Manuf_0111
Part_0052	Manuf_0112
Part_0052	Manuf_0113
Part_0052	Manuf_0115
Part_0053	Manuf_0061
Part_0053	Manuf_0062
Part_0053	Manuf_0063
Part_0053	Manuf_0084
Part_0053	Manuf_0085
Part_0053	Manuf_0086
Part_0053	Manuf_0087
Part_0053	Manuf_0088
Part_0053	Manuf_0089
Part_0053	Manuf_0090
Part_0053	Manuf_0091
Part_0053	Manuf_0093
Part_0053	Manuf_0094
Part_0053	Manuf_0095
Part_0053	Manuf_0096
Part_0053	Manuf_0097
Part_0053	Manuf_0098
Part_0053	Manuf_0102
Part_0053	Manuf_0103
Part_0053	Manuf_0104
Part_0053	Manuf_0112
Part_0053	Manuf_0115
Part_0054	Manuf_0092
Part_0054	Manuf_0105
Part_0054	Manuf_0109
Part_0054	Manuf_0111
Part_0054	Manuf_0113
Part_0055	Manuf_0102
Part_0055	Manuf_0112
Part_0055	Manuf_0115
Part_0056	Manuf_0092
Part_0056	Manuf_0111
Part_0056	Manuf_0113
Part_0057	Manuf_0061
Part_0057	Manuf_0062
Part_0057	Manuf_0063
Part_0057	Manuf_0064
Part_0057	Manuf_0084
Part_0057	Manuf_0085
Part_0057	Manuf_0086
Part_0057	Manuf_0087
Part_0057	Manuf_0088
Part_0057	Manuf_0089
Part_0057	Manuf_0090
Part_0057	Manuf_0093
Part_0057	Manuf_0094
Part_0057	Manuf_0095
Part_0057	Manuf_0096
Part_0057	Manuf_0097
Part_0057	Manuf_0098
Part_0057	Manuf_0099
Part_0058	Manuf_0093
Part_0058	Manuf_0104
Part_0059	Manuf_0063
Part_0059	Manuf_0090
Part_0059	Manuf_0094
Part_0059	Manuf_0097
Part_0060	Manuf_0061
Part_0060	Manuf_0062
Part_0060	Manuf_0091
Part_0060	Manuf_0095
Part_0060	Manuf_0098
Part_0061	Manuf_0082
Part_0061	Manuf_0099
Part_0062	Manuf_0096
Part_0063	Manuf_0064
Part_0063	Manuf_0082
Part_0063	Manuf_0099
Part_0064	Manuf_0083
Part_0064	Manuf_0100
Part_0065	Manuf_0064
Part_0065	Manuf_0082
Part_0065	Manuf_0099
Part_0066	Manuf_0103
Part_0067	Manuf_0105
Part_0068	Manuf_0083
Part_0068	Manuf_0100
Part_0069	Manuf_0083
Part_0069	Manuf_0100
Part_0070	Manuf_0082
Part_0070	Manuf_0102
Part_0070	Manuf_0103
Part_0070	Manuf_0104
Part_0070	Manuf_0112
Part_0070	Manuf_0115
Part_0071	Manuf_0083
Part_0071	Manuf_0105
Part_0071	Manuf_0109
Part_0071	Manuf_0111
Part_0071	Manuf_0113
Part_0072	Manuf_0064
Part_0072	Manuf_0082
Part_0072	Manuf_0083
Part_0072	Manuf_0099
Part_0072	Manuf_0100
Part_0072	Manuf_0101
Part_0072	Manuf_0117
Part_0073	Manuf_0061
Part_0073	Manuf_0062
Part_0073	Manuf_0063
Part_0073	Manuf_0090
Part_0073	Manuf_0091
Part_0073	Manuf_0102
Part_0073	Manuf_0103
Part_0073	Manuf_0106
Part_0073	Manuf_0107
Part_0073	Manuf_0108
Part_0073	Manuf_0111
Part_0073	Manuf_0115
Part_0073	Manuf_0116
Part_0074	Manuf_0092
Part_0074	Manuf_0093
Part_0074	Manuf_0094
Part_0074	Manuf_0095
Part_0074	Manuf_0096
Part_0074	Manuf_0097
Part_0074	Manuf_0098
Part_0074	Manuf_0104
Part_0074	Manuf_0105
Part_0074	Manuf_0112
Part_0074	Manuf_0113
Part_0074	Manuf_0114
Part_0075	Manuf_0061
Part_0075	Manuf_0090
Part_0075	Manuf_0106
Part_0076	Manuf_0062
Part_0076	Manuf_0063
Part_0076	Manuf_0091
Part_0076	Manuf_0092
Part_0076	Manuf_0094
Part_0076	Manuf_0095
Part_0076	Manuf_0097
Part_0076	Manuf_0098
Part_0076	Manuf_0102
Part_0076	Manuf_0103
Part_0076	Manuf_0107
Part_0076	Manuf_0111
Part_0076	Manuf_0112
Part_0076	Manuf_0113
Part_0076	Manuf_0115
Part_0076	Manuf_0116
Part_0077	Manuf_0093
Part_0077	Manuf_0096
Part_0077	Manuf_0104
Part_0077	Manuf_0105
Part_0077	Manuf_0108
Part_0077	Manuf_0114
Part_0078	Manuf_0064
Part_0078	Manuf_0082
Part_0078	Manuf_0083
Part_0078	Manuf_0099
Part_0078	Manuf_0100
Part_0078	Manuf_0101
Part_0078	Manuf_0117
Part_0079	Manuf_0106
Part_0079	Manuf_0107
Part_0079	Manuf_0108
Part_0079	Manuf_0114
Part_0079	Manuf_0116
Part_0079	Manuf_0117
Part_0080	Manuf_0106
Part_0081	Manuf_0108
Part_0081	Manuf_0114
Part_0082	Manuf_0116
Part_0083	Manuf_0106
Part_0083	Manuf_0107
Part_0083	Manuf_0116
Part_0084	Manuf_0108
Part_0084	Manuf_0114
Part_0085	Manuf_0101
Part_0085	Manuf_0117
Part_0086	Manuf_0106
Part_0086	Manuf_0107
Part_0087	Manuf_0118
Part_0088	Manuf_0101
Part_0088	Manuf_0117
Part_0089	Manuf_0101
Part_0089	Manuf_0117
Part_0090	Manuf_0101
Part_0091	Manuf_0101
Part_0091	Manuf_0106
Part_0091	Manuf_0107
Part_0091	Manuf_0108
Part_0091	Manuf_0114
Part_0091	Manuf_0116
Part_0091	Manuf_0117
Part_0092	Manuf_0106
Part_0092	Manuf_0107
Part_0092	Manuf_0108
Part_0092	Manuf_0114
Part_0092	Manuf_0116
Part_0093	Manuf_0106
Part_0093	Manuf_0107
Part_0093	Manuf_0108
Part_0093	Manuf_0114
Part_0093	Manuf_0116
Part_0094	Manuf_0132
